gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,0,1,21,1,0,0,2,0,2,0,0,2,1,0,3,64.85,610,0
0,0,0,0,54,1,2,1,0,2,0,0,2,2,2,1,0,97.2,4319,0
1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,23.45,1940,1
1,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,2,70.2,2012,1
1,0,0,1,0,1,2,0,2,2,0,2,0,0,2,1,0,61.9,0,0
1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,1,2,69.55,4365,0
1,0,1,1,32,1,0,2,1,1,1,1,1,1,2,0,3,18.95,5004,0
1,0,1,1,72,1,0,2,1,1,1,1,1,1,2,1,1,19.8,761,0
1,0,0,0,19,0,1,0,0,0,2,0,2,0,0,1,2,39.65,5683,1
1,0,0,1,10,1,0,2,1,1,1,1,1,1,1,1,0,19.95,1808,0
1,1,1,0,21,1,0,1,0,0,0,0,0,0,0,1,2,69.1,873,1
0,1,0,0,45,1,2,0,2,0,0,2,0,2,0,1,2,70.05,2661,0
1,1,0,0,32,1,0,2,1,1,1,1,1,1,1,0,1,19.8,4824,0
0,0,1,0,40,1,2,1,2,0,2,0,2,2,1,0,0,105.75,3609,0
0,0,0,0,47,0,1,0,2,0,2,2,0,0,2,0,3,41.9,1450,0
0,0,0,0,36,0,1,0,2,2,2,2,0,2,2,1,3,53.1,1501,0
0,0,1,1,69,1,2,1,2,2,2,2,2,0,1,1,1,105.1,5636,0
0,0,1,0,71,1,0,0,0,2,2,2,2,2,2,1,1,80.7,4707,0
0,0,1,0,71,1,2,2,1,1,1,1,1,1,2,1,0,24.65,1210,0
1,0,1,0,35,0,1,0,2,0,2,0,2,2,1,0,1,53.15,1532,0
1,0,0,0,3,1,0,0,0,0,0,0,0,2,0,0,3,54.65,1467,0
1,1,1,0,72,1,2,1,0,2,2,2,2,2,2,0,1,109.7,5960,0
1,0,1,1,72,1,2,0,2,2,2,2,2,2,2,1,1,90.6,5182,0
0,0,1,1,68,1,2,0,2,2,2,0,2,0,1,1,1,73.0,4336,0
0,0,0,0,42,0,1,0,2,2,2,2,0,2,1,1,2,54.75,1984,0
1,1,0,0,21,1,0,2,1,1,1,1,1,1,1,0,0,20.5,3649,0
0,1,0,0,8,1,0,1,0,0,2,0,2,2,0,1,2,92.1,5658,1
1,1,1,0,10,1,0,1,2,0,0,0,0,0,0,0,2,75.3,5626,0
0,0,0,0,71,1,2,1,2,2,2,0,2,2,2,1,1,106.75,5655,0
0,1,0,0,46,1,0,1,0,2,2,0,2,0,1,1,0,91.3,3520,0
0,0,1,1,3,1,0,1,0,2,0,2,0,0,0,1,2,80.0,2055,0
0,1,0,0,12,1,2,1,0,2,0,0,2,0,0,1,2,91.3,188,1
0,0,1,0,26,0,1,0,2,2,2,0,2,0,1,0,0,47.85,355,0
1,0,0,0,3,1,0,0,2,0,0,0,0,0,0,1,3,50.15,1058,0
0,0,0,0,49,1,0,0,0,0,2,2,2,2,2,1,0,74.45,3206,0
1,0,0,0,33,1,0,1,0,2,0,2,0,0,2,0,0,80.6,2299,0
1,0,1,0,42,1,2,1,2,0,2,0,0,2,0,1,2,94.4,3430,0
1,0,1,1,31,1,2,0,2,2,0,2,0,2,1,1,0,75.25,1979,0
1,1,1,1,68,1,2,1,0,0,2,2,2,2,1,1,1,107.15,5702,0
1,1,1,1,66,1,2,1,2,2,2,2,2,2,1,1,2,116.25,5943,0
1,0,1,1,58,1,0,2,1,1,1,1,1,1,1,1,2,19.55,208,0
1,0,1,1,35,1,0,2,1,1,1,1,1,1,2,0,3,20.1,5235,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,20.2,1610,0
0,0,0,0,40,1,0,1,0,2,0,0,0,0,0,0,1,74.8,2569,0
0,0,1,0,13,1,2,0,2,2,0,2,2,0,0,1,2,76.2,6503,0
1,0,1,0,57,1,0,0,2,0,0,2,0,0,0,0,2,55.7,2756,0
0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,2,75.3,5769,1
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,45.7,3822,1
0,0,0,0,46,1,0,0,0,0,2,2,0,0,2,0,1,54.35,2112,1
0,1,1,1,40,1,2,1,0,0,0,0,2,2,0,1,1,94.55,3144,1
1,0,1,1,21,1,2,0,2,2,0,2,2,0,1,0,3,77.5,1096,1
0,0,0,0,6,1,0,1,2,2,2,2,0,2,0,1,0,98.15,4685,1
1,0,1,1,59,1,2,1,2,2,0,2,2,2,2,1,3,111.1,5239,0
1,0,0,0,15,1,2,0,0,2,0,2,0,0,0,1,1,58.6,6416,1
0,0,0,0,27,1,2,1,0,0,0,0,2,2,0,1,3,94.55,2369,1
1,0,0,0,71,1,2,1,2,2,2,2,2,2,1,1,0,116.3,6140,0
0,0,0,0,45,1,2,1,0,0,2,0,0,2,0,1,1,89.3,3585,0
1,0,0,0,4,1,0,2,1,1,1,1,1,1,0,0,3,20.7,5663,0
0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,19.6,1486,1
1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,99.35,4019,1
1,0,0,0,34,1,0,0,0,2,0,0,0,0,0,1,2,49.8,1243,0
0,0,1,1,18,1,0,0,0,0,2,2,0,0,1,1,1,54.4,6459,0
0,0,0,0,8,1,0,0,2,0,0,2,0,0,1,0,0,54.25,3793,0
1,0,0,0,7,0,1,0,0,0,2,2,0,0,1,1,1,35.5,2135,0
1,0,1,1,5,1,2,1,2,0,2,0,0,0,0,1,2,84.5,3857,1
0,0,0,0,39,1,0,0,0,0,0,2,0,2,1,0,2,59.3,1840,0
1,0,1,1,29,1,0,2,1,1,1,1,1,1,0,1,3,20.65,5231,0
0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,3,55.2,4560,1
1,0,0,1,31,0,1,0,0,0,0,0,0,0,0,0,1,25.0,5957,0
1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,24.3,3257,0
1,0,1,0,63,1,0,0,2,2,0,2,2,0,1,0,1,70.8,3774,0
1,0,0,0,20,1,0,1,0,0,0,0,2,0,0,0,2,78.8,1117,0
0,0,1,0,71,1,2,0,0,2,2,2,2,2,2,1,1,83.3,4836,0
0,0,0,0,66,1,0,0,2,2,2,0,0,0,2,1,0,61.15,3435,0
1,0,0,0,8,1,0,0,0,0,0,0,0,0,0,1,3,45.15,3721,1
0,0,0,0,2,1,2,1,0,0,0,0,2,2,0,1,2,96.0,1255,1
1,0,1,0,3,0,1,0,2,0,0,2,0,0,0,0,3,35.1,20,0
0,0,0,0,47,1,0,2,1,1,1,1,1,1,2,0,1,20.25,63,0
1,0,0,0,2,0,1,0,0,0,2,0,2,2,0,1,2,49.25,6323,1
1,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,2,74.0,5713,0
0,0,0,0,7,1,0,2,1,1,1,1,1,1,1,0,3,20.25,526,0
