iter	Passed	Remaining
0	4	2258
1	9	2321
2	12	2119
3	16	2004
4	18	1784
5	22	1820
6	26	1837
7	30	1866
8	33	1844
9	37	1823
10	42	1876
11	47	1918
12	56	2109
13	59	2075
14	63	2038
15	66	2010
16	70	2001
17	74	1994
18	77	1970
19	81	1948
20	84	1928
21	88	1915
22	94	1960
23	99	1966
24	104	1986
25	110	2006
26	120	2106
27	134	2262
28	144	2352
29	153	2399
30	160	2435
31	165	2416
32	172	2434
33	176	2423
34	180	2403
35	184	2382
36	189	2369
37	193	2356
38	197	2338
39	201	2322
40	206	2310
41	210	2298
42	215	2285
43	219	2272
44	223	2258
45	227	2245
46	235	2271
47	244	2302
48	248	2287
49	252	2269
50	255	2249
51	258	2230
52	262	2212
53	265	2193
54	269	2178
55	272	2160
56	276	2145
57	279	2129
58	283	2115
59	286	2103
60	290	2088
61	293	2075
62	297	2061
63	300	2049
64	304	2037
65	307	2024
66	311	2011
67	314	1998
68	318	1987
69	321	1975
70	325	1964
71	328	1952
72	331	1940
73	335	1929
74	338	1919
75	341	1907
76	345	1896
77	348	1885
78	353	1881
79	356	1870
80	359	1860
81	362	1850
82	366	1840
83	368	1824
84	371	1814
85	373	1796
86	376	1786
87	379	1778
88	383	1770
89	386	1762
90	390	1753
91	393	1746
92	397	1738
93	400	1730
94	404	1724
95	407	1716
96	411	1708
97	414	1700
98	418	1693
99	421	1685
100	424	1678
101	428	1670
102	433	1671
103	437	1664
104	440	1657
105	443	1650
106	447	1643
107	450	1636
108	454	1629
109	457	1622
110	460	1615
111	464	1609
112	468	1602
113	471	1595
114	474	1589
115	478	1583
116	481	1576
117	484	1569
118	488	1563
119	491	1557
120	495	1550
121	498	1545
122	503	1543
123	507	1538
124	511	1534
125	515	1530
126	521	1531
127	529	1537
128	540	1554
129	548	1562
130	552	1557
131	558	1555
132	566	1561
133	572	1563
134	581	1571
135	585	1567
136	589	1560
137	592	1554
138	595	1547
139	599	1540
140	602	1533
141	605	1527
142	609	1520
143	612	1514
144	617	1511
145	623	1510
146	629	1510
147	633	1507
148	637	1501
149	640	1494
150	643	1488
151	647	1481
152	650	1475
153	653	1469
154	657	1463
155	660	1457
156	664	1451
157	667	1445
158	671	1439
159	674	1433
160	679	1430
161	683	1425
162	686	1419
163	689	1413
164	693	1407
165	696	1401
166	700	1396
167	703	1390
168	706	1384
169	710	1379
170	715	1375
171	722	1376
172	725	1372
173	729	1366
174	732	1360
175	735	1354
176	739	1348
177	742	1343
178	745	1337
179	749	1331
180	752	1326
181	755	1320
182	759	1315
183	762	1309
184	765	1304
185	769	1299
186	773	1293
187	776	1288
188	779	1283
189	783	1277
190	786	1272
191	789	1267
192	793	1261
193	796	1256
194	800	1251
195	803	1246
196	806	1240
197	811	1237
198	814	1231
199	818	1227
200	821	1222
201	824	1217
202	828	1212
203	831	1207
204	835	1201
205	838	1196
206	841	1191
207	845	1186
208	848	1181
209	851	1176
210	855	1171
211	858	1166
212	863	1163
213	866	1158
214	869	1153
215	873	1148
216	876	1143
217	880	1138
218	883	1133
219	886	1128
220	889	1123
221	893	1118
222	896	1113
223	900	1109
224	904	1105
225	907	1100
226	910	1095
227	914	1090
228	917	1085
229	920	1081
230	924	1076
231	927	1071
232	931	1066
233	934	1062
234	937	1057
235	941	1052
236	944	1048
237	947	1043
238	951	1038
239	954	1034
240	957	1029
241	961	1024
242	964	1020
243	968	1015
244	971	1010
245	974	1006
246	977	1001
247	981	997
248	984	992
249	987	987
250	991	983
251	994	979
252	998	975
253	1002	970
254	1005	966
255	1009	961
256	1012	957
257	1015	952
258	1019	948
259	1022	943
260	1026	939
261	1029	935
262	1035	932
263	1039	929
264	1043	924
265	1046	920
266	1049	916
267	1053	911
268	1056	907
